N,west_germany,usa,france,uk,canada,japan,west_germany_recall,west_germany_precision,west_germany_f1,usa_recall,usa_precision,usa_f1,france_recall,france_precision,france_f1,uk_recall,uk_precision,uk_f1,canada_recall,canada_precision,canada_f1,japan_recall,japan_precision,japan_f1,accuracy,recall,precision,f1
2,11,722,0,63,79,25,0.0,0.0,0.0,0.9792243767313019,0.8126436781609195,0.875852890227142,0.0,0.0,0.0,0.0,0.0,0.0,0.0759493670886076,0.2,0.13861033259351663,0.0,0.0,0.0,0.6694763729246487,0.7922222222222223,0.7147955589098715,0.7922222222222223
3,11,722,0,63,79,25,0.0,0.0,0.0,0.9916897506925207,0.8035914702581369,0.8849093868766964,0.0,0.0,0.0,0.0,0.0,0.0,0.0379746835443038,0.3333333333333333,0.07250298314314045,0.0,0.0,0.0,0.6739181942885647,0.7988888888888889,0.7162581255480921,0.7988888888888889
5,11,722,0,63,79,25,0.0,0.0,0.0,1.0,0.8022222222222222,0.8902589395807644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6435604938271605,0.8022222222222222,0.7141855048636799,0.8022222222222222
8,11,722,0,63,79,25,0.0,0.0,0.0,1.0,0.8022222222222222,0.8902589395807644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6435604938271605,0.8022222222222222,0.7141855048636799,0.8022222222222222
10,11,722,0,63,79,25,0.0,0.0,0.0,1.0,0.8022222222222222,0.8902589395807644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6435604938271605,0.8022222222222222,0.7141855048636799,0.8022222222222222
15,11,722,0,63,79,25,0.0,0.0,0.0,1.0,0.8022222222222222,0.8902589395807644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6435604938271605,0.8022222222222222,0.7141855048636799,0.8022222222222222
