N,west_germany,usa,france,uk,canada,japan,west_germany_recall,west_germany_precision,west_germany_f1,usa_recall,usa_precision,usa_f1,france_recall,france_precision,france_f1,uk_recall,uk_precision,uk_f1,canada_recall,canada_precision,canada_f1,japan_recall,japan_precision,japan_f1,accuracy,recall,precision,f1
2,2,82,0,4,10,2,0.0,0.0,0.0,0.10975609756097561,0.9,0.12304687500000001,0.0,0.0,0.0,0.75,0.034482758620689655,0.2359550561797753,0.2,0.6666666666666666,0.1647058823529412,0.0,0.0,0.0,0.8060459770114943,0.14,0.14,0.12680722798248514
3,2,82,0,4,10,2,0.0,0.0,0.0,0.10975609756097561,0.9,0.12304687500000001,0.0,0.0,0.0,0.75,0.034482758620689655,0.2359550561797753,0.2,0.6666666666666666,0.1647058823529412,0.0,0.0,0.0,0.8060459770114943,0.14,0.14,0.12680722798248514
5,2,82,0,4,10,2,0.0,0.0,0.0,0.0975609756097561,0.8888888888888888,0.10762331838565023,0.0,0.0,0.0,0.75,0.03488372093023256,0.20689655172413793,0.1,0.5,0.1090909090909091,0.0,0.0,0.0,0.7802842377260981,0.12,0.12,0.10743607405428962
8,2,82,0,4,10,2,0.0,0.0,0.0,0.0975609756097561,1.0,0.11146838156484459,0.0,0.0,0.0,0.75,0.034482758620689655,0.2215909090909091,0.2,1.0,0.1575757575757576,0.0,0.0,0.0,0.9213793103448276,0.13,0.13,0.11602528500438469
10,2,82,0,4,10,2,0.0,0.0,0.0,0.975609756097561,0.851063829787234,0.8910622113556099,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.3215686274509804,0.0,0.0,0.0,0.7978723404255319,0.82,0.82,0.7628278760566982
15,2,82,0,4,10,2,0.0,0.0,0.0,0.975609756097561,0.8602150537634409,0.8969336755369444,0.0,0.0,0.0,0.25,0.5,0.3842592592592592,0.2,1.0,0.32233009708737864,0.0,0.0,0.0,0.8253763440860215,0.83,0.83,0.7830889940194026
