N,west_germany,usa,france,uk,canada,japan,west_germany_recall,west_germany_precision,west_germany_f1,usa_recall,usa_precision,usa_f1,france_recall,france_precision,france_f1,uk_recall,uk_precision,uk_f1,canada_recall,canada_precision,canada_f1,japan_recall,japan_precision,japan_f1,accuracy,recall,precision,f1
2,2,169,0,5,22,2,0.0,0.0,0.0,0.08875739644970414,0.9375,0.10380622837370242,0.0,0.0,0.0,0.8,0.022857142857142857,0.21621621621621623,0.2727272727272727,0.6666666666666666,0.17142857142857143,0.0,0.0,0.0,0.866092261904762,0.125,0.125,0.1119788112383268
3,2,169,0,5,22,2,0.0,0.0,0.0,0.09467455621301775,0.8421052631578947,0.10584343991179714,0.0,0.0,0.0,0.8,0.022857142857142857,0.20869565217391303,0.18181818181818182,0.6666666666666666,0.14457831325301204,0.0,0.0,0.0,0.7854837092731829,0.12,0.12,0.11055871248764775
5,2,169,0,5,22,2,0.0,0.0,0.0,0.08875739644970414,0.8823529411764706,0.10018876143458691,0.0,0.0,0.0,0.8,0.023121387283236993,0.2010928961748634,0.18181818181818182,0.5714285714285714,0.14088820826952528,0.0,0.0,0.0,0.8090234128333416,0.115,0.115,0.10518452872624531
8,2,169,0,5,22,2,0.0,0.0,0.0,0.08284023668639054,1.0,0.09801633605600933,0.0,0.0,0.0,0.8,0.022988505747126436,0.20869565217391303,0.2727272727272727,0.6666666666666666,0.16666666666666666,0.0,0.0,0.0,0.9189080459770115,0.12,0.12,0.10637452860500905
10,2,169,0,5,22,2,0.0,0.0,0.0,0.9585798816568047,0.8756756756756757,0.8953809711804185,0.0,0.0,0.0,0.0,0.0,0.0,0.2727272727272727,0.6666666666666666,0.41176470588235287,0.0,0.0,0.0,0.8132792792792793,0.84,0.84,0.8018910382945124
15,2,169,0,5,22,2,0.0,0.0,0.0,0.9704142011834319,0.8817204301075269,0.9090584936546783,0.0,0.0,0.0,0.2,0.5,0.3241706161137441,0.2727272727272727,0.6666666666666666,0.4135429262394196,0.0,0.0,0.0,0.8308870967741935,0.855,0.855,0.8217484144273829
