Summary,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,T
almost_none Block Groups have huge population,1.0,0.6206504121115978,2.0E-4,0.0,1.0,0.8,0.8,0.6206504121115978,0.0,0.0,1.0,0.531045529474836
around 20 % Block Groups have huge population,0.0,0.6206504121115978,2.0E-4,0.0,1.0,0.6283077811150161,0.6283077811150161,0.6206504121115978,0.0,0.0,1.0,0.40891967149574804
nearly 1/3 Block Groups have huge population,0.0,0.6206504121115978,2.0E-4,0.0,1.0,0.8,0.8,0.6206504121115978,0.0,0.0,1.0,0.44013643856574514
approximately half Block Groups have huge population,0.0,0.6206504121115978,2.0E-4,0.0,1.0,0.7,0.7,0.6206504121115978,0.0,0.0,1.0,0.42195462038392684
most Block Groups have huge population,0.0,0.6206504121115978,2.0E-4,0.0,1.0,0.55,0.55,0.6206504121115978,0.0,0.0,1.0,0.3946818931111996
almost all Block Groups have huge population,0.0,0.6206504121115978,2.0E-4,0.0,1.0,0.8,0.8,0.6206504121115978,0.0,0.0,1.0,0.44013643856574514
