N,west_germany,usa,france,uk,canada,japan,west_germany_recall,west_germany_precision,west_germany_f1,usa_recall,usa_precision,usa_f1,france_recall,france_precision,france_f1,uk_recall,uk_precision,uk_f1,canada_recall,canada_precision,canada_f1,japan_recall,japan_precision,japan_f1,accuracy,recall,precision,f1
2,3,256,0,8,31,2,0.0,0.0,0.0,1.0,0.8533333333333334,0.9208633093525179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7281777777777778,0.7858033573141486,0.8533333333333334,0.8533333333333334
3,3,256,0,8,31,2,0.0,0.0,0.0,1.0,0.8533333333333334,0.9208633093525179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7281777777777778,0.7858033573141486,0.8533333333333334,0.8533333333333334
5,3,256,0,8,31,2,0.0,0.0,0.0,1.0,0.8533333333333334,0.9208633093525179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7281777777777778,0.7858033573141486,0.8533333333333334,0.8533333333333334
10,3,256,0,8,31,2,0.0,0.0,0.0,1.0,0.8533333333333334,0.9208633093525179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7281777777777778,0.7858033573141486,0.8533333333333334,0.8533333333333334
