N,west_germany,usa,france,uk,canada,japan,west_germany_recall,west_germany_precision,west_germany_f1,usa_recall,usa_precision,usa_f1,france_recall,france_precision,france_f1,uk_recall,uk_precision,uk_f1,canada_recall,canada_precision,canada_f1,japan_recall,japan_precision,japan_f1,accuracy,recall,precision,f1
2,3,256,0,8,31,2,0.0,0.0,0.0,0.09375,0.96,0.12481426448737,0.0,0.0,0.0,0.25,0.2857142857142857,0.2137404580152672,0.967741935483871,0.11363636363636363,0.31296572280178836,0.0,0.0,0.0,0.8385614718614718,0.1445477092658143,0.18666666666666668,0.18666666666666668
3,3,256,0,8,31,2,0.0,0.0,0.0,0.09765625,0.8928571428571429,0.1115305422100206,0.0,0.0,0.0,0.875,0.027131782945736434,0.22636815920398012,0.22580645161290322,0.7,0.16500453309156843,0.0,0.0,0.0,0.8349616094499815,0.11825968201745245,0.13,0.13
5,3,256,0,8,31,2,0.0,0.0,0.0,0.09765625,0.8928571428571429,0.11273957158962797,0.0,0.0,0.0,0.875,0.02834008097165992,0.23140495867768596,0.25806451612903225,0.4,0.17582417582417584,0.0,0.0,0.0,0.8039938307306729,0.120543731489719,0.13333333333333333,0.13333333333333333
10,3,256,0,8,31,2,0.0,0.0,0.0,0.96484375,0.8884892086330936,0.9094100522304992,0.0,0.0,0.0,0.25,0.5,0.3873873873873874,0.2903225806451613,0.6923076923076923,0.43409983174425126,0.0,0.0,0.0,0.843049252905368,0.8312172241805956,0.86,0.86
