N,west_germany,usa,france,uk,canada,japan,west_germany_recall,west_germany_precision,west_germany_f1,usa_recall,usa_precision,usa_f1,france_recall,france_precision,france_f1,uk_recall,uk_precision,uk_f1,canada_recall,canada_precision,canada_f1,japan_recall,japan_precision,japan_f1,accuracy,recall,precision,f1
2,10,581,0,42,59,8,0.1,1.0,0.1084967320261438,0.07917383820998279,0.9583333333333334,0.09494796264750135,0.0,0.0,0.0,0.21428571428571427,0.6,0.15266707541385652,0.3220338983050847,0.5757575757575758,0.17332527339671372,1.0,0.013266998341625208,0.21200510855683272,0.10654854683528925,0.8943821423187096,0.11857142857142858,0.11857142857142858
3,10,581,0,42,59,8,0.0,0.0,0.0,0.08089500860585198,0.9591836734693877,0.09617494422050465,0.0,0.0,0.0,0.21428571428571427,0.6428571428571429,0.15266707541385652,0.3220338983050847,0.6785714285714286,0.17332527339671372,1.0,0.013136288998357963,0.21200510855683272,0.10601698822622278,0.8920378841191648,0.11857142857142858,0.11857142857142858
5,10,581,0,42,59,8,0.0,0.0,0.0,0.9328743545611016,0.8827361563517915,0.8744188130902899,0.0,0.0,0.0,0.09523809523809523,0.6666666666666666,0.17071724955542383,0.423728813559322,0.4098360655737705,0.5593970942428717,0.625,0.2631578947368421,0.7104094721262949,0.7912787988916086,0.8102218540959115,0.8228571428571428,0.8228571428571428
10,10,581,0,42,59,8,0.0,0.0,0.0,0.9724612736660929,0.8692307692307693,0.9054866472170835,0.0,0.0,0.0,0.09523809523809523,0.6666666666666666,0.17122644914458962,0.3220338983050847,0.6333333333333333,0.4666680473005156,0.625,0.35714285714285715,0.7193110140708394,0.8093816511435648,0.8189241234955521,0.8471428571428572,0.8471428571428572
