N,west_germany,usa,france,uk,canada,japan,west_germany_recall,west_germany_precision,west_germany_f1,usa_recall,usa_precision,usa_f1,france_recall,france_precision,france_f1,uk_recall,uk_precision,uk_f1,canada_recall,canada_precision,canada_f1,japan_recall,japan_precision,japan_f1,accuracy,recall,precision,f1
2,10,581,0,42,59,8,0.1,1.0,0.10789473684210528,0.0774526678141136,0.9574468085106383,0.09325010740188522,0.0,0.0,0.0,0.21428571428571427,0.5625,0.15147783251231528,0.3220338983050847,0.6129032258064516,0.17179402359686843,1.0,0.013223140495867768,0.20971867007672634,0.10490417926751809,0.8945266731303263,0.11714285714285715,0.11714285714285715
3,10,581,0,42,59,8,0.0,0.0,0.0,0.08089500860585198,0.9591836734693877,0.09617494422050465,0.0,0.0,0.0,0.21428571428571427,0.6428571428571429,0.15266707541385652,0.3220338983050847,0.6785714285714286,0.17332527339671372,1.0,0.013136288998357963,0.21200510855683272,0.10601698822622278,0.8920378841191648,0.11857142857142858,0.11857142857142858
5,10,581,0,42,59,8,0.0,0.0,0.0,0.9311531841652324,0.8825448613376835,0.8728560906316861,0.0,0.0,0.0,0.09523809523809523,0.5714285714285714,0.1706864564007421,0.423728813559322,0.4098360655737705,0.5590666018473505,0.625,0.2631578947368421,0.7098765432098765,0.7899459452578764,0.8043487935199161,0.8214285714285714,0.8214285714285714
10,10,581,0,42,59,8,0.0,0.0,0.0,0.9776247848537005,0.8658536585365854,0.9077186973224477,0.0,0.0,0.0,0.09523809523809523,0.6666666666666666,0.17122644914458962,0.2711864406779661,0.6666666666666666,0.41085153831164617,0.625,0.35714285714285715,0.7193110140708394,0.8065297184019552,0.8189306454289033,0.8471428571428572,0.8471428571428572
