K,west_germany_learning_set,west_germany_expected,west_germany_result,usa_learning_set,usa_expected,usa_result,france_learning_set,france_expected,france_result,uk_learning_set,uk_expected,uk_result,canada_learning_set,canada_expected,canada_result,japan_learning_set,japan_expected,japan_result,west_germany_recall,west_germany_precision,west_germany_f1,usa_recall,usa_precision,usa_f1,france_recall,france_precision,france_f1,uk_recall,uk_precision,uk_f1,canada_recall,canada_precision,canada_f1,japan_recall,japan_precision,japan_f1,accuracy,recall,precision,f1
1,68,262,70,2216,8662,10424,0,0,0,206,732,161,130,719,26,78,420,114,0.08778625954198473,0.32857142857142857,0.15845620267856547,0.9894943431078272,0.8222371450498849,0.8924200646004014,0.0,0.0,0.0,0.13797814207650272,0.6273291925465838,0.23590456556202224,0.025034770514603615,0.6923076923076923,0.04857325259835404,0.14285714285714285,0.5263157894736842,0.24299919674265297,0.74861733190477,0.812691060676239,0.812691060676239,0.7768717643353491
2,68,262,103,2216,8662,10390,0,0,0,206,732,115,130,719,68,78,420,119,0.09541984732824428,0.24271844660194175,0.17081171046977597,0.9893788963287924,0.8248315688161694,0.8930428431917143,0.0,0.0,0.0,0.09972677595628415,0.6347826086956522,0.17767991405601183,0.07649513212795549,0.8088235294117647,0.13984521297687166,0.14761904761904762,0.5210084033613446,0.24990651504132838,0.751816666735196,0.8138026864289023,0.8138026864289023,0.7849293004835025
3,68,262,72,2216,8662,10371,0,0,0,206,732,145,130,719,75,78,420,132,0.030534351145038167,0.1111111111111111,0.05885780641483015,0.9883398753174787,0.8254748818821714,0.8920618070786325,0.0,0.0,0.0,0.11885245901639344,0.6,0.20738298925699478,0.07788595271210014,0.7466666666666667,0.14215161247630623,0.15,0.4772727272727273,0.25326502633667647,0.7506107259623704,0.8128763316350162,0.8128763316350162,0.7740511733916035
5,68,262,36,2216,8662,10372,0,0,0,206,732,151,130,719,69,78,420,167,0.011450381679389313,0.08333333333333333,0.022583051059474786,0.9881089817594089,0.8252024681835711,0.8925808624903817,0.0,0.0,0.0,0.12431693989071038,0.6026490066225165,0.21568887965073297,0.07788595271210014,0.8115942028985508,0.1421671756490573,0.18333333333333332,0.46107784431137727,0.2992576307661343,0.7525004960062116,0.8138953219082908,0.8138953219082908,0.7770324328005506
8,68,262,0,2216,8662,10347,0,0,0,206,732,194,130,719,67,78,420,187,0.0,0.0,0.0,0.9874163010851997,0.8266164105537837,0.8937991801294238,0.0,0.0,0.0,0.15846994535519127,0.5979381443298969,0.26541955329483224,0.07649513212795549,0.8208955223880597,0.1398833985159601,0.2119047619047619,0.47593582887700536,0.3364739721355621,0.7575980401225381,0.8163964798517832,0.8163964798517832,0.7770226029265137
12,68,262,0,2216,8662,10332,0,0,0,206,732,194,130,719,67,78,420,202,0.0,0.0,0.0,0.9869545139690603,0.8274293457220286,0.8938873403534331,0.0,0.0,0.0,0.15846994535519127,0.5979381443298969,0.26544401995278055,0.07649513212795549,0.8208955223880597,0.1398901940288154,0.23333333333333334,0.48514851485148514,0.3629820202584496,0.7587022383290541,0.8168596572487262,0.8168596572487262,0.7780333460980394
15,68,262,0,2216,8662,10331,0,0,0,206,732,194,130,719,67,78,420,203,0.0,0.0,0.0,0.9869545139690603,0.8275094376149453,0.8939428023797463,0.0,0.0,0.0,0.15846994535519127,0.5979381443298969,0.2654489104960632,0.07649513212795549,0.8208955223880597,0.13989155228588987,0.2357142857142857,0.4876847290640394,0.36586575481097117,0.758859360797651,0.8169522927281149,0.8169522927281149,0.7781962887516491
20,68,262,0,2216,8662,10481,0,0,0,206,732,194,130,719,0,78,420,120,0.0,0.0,0.0,0.9913414915723852,0.8192920522850873,0.893282423775626,0.0,0.0,0.0,0.15846994535519127,0.5979381443298969,0.26523284415909276,0.0,0.0,0.0,0.17142857142857143,0.6,0.28314443592949623,0.7457789217007241,0.8128763316350162,0.8128763316350162,0.7212967557705336
30,68,262,0,2216,8662,10591,0,0,0,206,732,194,130,719,0,78,420,10,0.0,0.0,0.0,0.9938813207111522,0.8128599754508545,0.8916144208192959,0.0,0.0,0.0,0.15846994535519127,0.5979381443298969,0.26499505784002475,0.0,0.0,0.0,0.004761904761904762,0.2,0.009468039805475018,0.7337764772759554,0.8084298286243631,0.8084298286243631,0.7005728419643156
50,68,262,0,2216,8662,10601,0,0,0,206,732,194,130,719,0,78,420,0,0.0,0.0,0.0,0.9944585546063265,0.8125648523724177,0.8920157058359067,0.0,0.0,0.0,0.15846994535519127,0.5979381443298969,0.26500998353959004,0.0,0.0,0.0,0.0,0.0,0.0,0.7337311118019086,0.8087077350625289,0.8087077350625289,0.6925546524223591
