K,west_germany_learning_set,west_germany_expected,west_germany_result,usa_learning_set,usa_expected,usa_result,france_learning_set,france_expected,france_result,uk_learning_set,uk_expected,uk_result,canada_learning_set,canada_expected,canada_result,japan_learning_set,japan_expected,japan_result,west_germany_recall,west_germany_precision,west_germany_f1,usa_recall,usa_precision,usa_f1,france_recall,france_precision,france_f1,uk_recall,uk_precision,uk_f1,canada_recall,canada_precision,canada_f1,japan_recall,japan_precision,japan_f1,accuracy,recall,precision,f1
1,120,210,57,4415,6463,7674,0,0,0,388,550,175,341,508,77,132,366,114,0.1619047619047619,0.5964912280701754,0.2696987686334782,0.9788024137397493,0.8243419338024498,0.8846164118932063,0.0,0.0,0.0,0.14181818181818182,0.44571428571428573,0.24124019647520417,0.08661417322834646,0.5714285714285714,0.1564374214401149,0.14207650273224043,0.45614035087719296,0.24161383088567842,0.7502155849988789,0.8069655427936273,0.760202669619562,0.8069655427936273
2,120,210,72,4415,6463,7651,0,0,0,388,550,83,341,508,110,132,366,181,0.18095238095238095,0.5277777777777778,0.2955914616280649,0.9764815101346124,0.8248594954907855,0.8834451219708237,0.0,0.0,0.0,0.08727272727272728,0.5783132530120482,0.15750371918951062,0.10433070866141732,0.4818181818181818,0.18476287928465454,0.22131147540983606,0.44751381215469616,0.3473248499853752,0.7508197497301234,0.8065950351982215,0.7618286073186565,0.8065950351982215
3,120,210,54,4415,6463,7655,0,0,0,388,550,128,341,508,89,132,366,171,0.14761904761904762,0.5740740740740741,0.2497407627744553,0.9801949559028315,0.8275636838667537,0.8871871208506611,0.0,0.0,0.0,0.13090909090909092,0.5625,0.22540291931307252,0.10039370078740158,0.5730337078651685,0.1786528596999147,0.19672131147540983,0.42105263157894735,0.3165837329231883,0.7554566909769163,0.8103001111522786,0.7686403644732352,0.8103001111522786
5,120,210,64,4415,6463,7683,0,0,0,388,550,150,341,508,80,132,366,120,0.14285714285714285,0.46875,0.24295852738966514,0.9823611326009593,0.8263699075881817,0.8889626993329326,0.0,0.0,0.0,0.1509090909090909,0.5533333333333333,0.25450591189916216,0.10236220472440945,0.65,0.18180019403594772,0.16120218579234974,0.49166666666666664,0.2689890308142251,0.7567210018443102,0.8117821415339015,0.7723539021953503,0.8117821415339015
8,120,210,46,4415,6463,7666,0,0,0,388,550,178,341,508,76,132,366,131,0.14285714285714285,0.6521739130434783,0.24304133694870234,0.9814327711589045,0.8274197756326637,0.8896910675144004,0.0,0.0,0.0,0.1690909090909091,0.5224719101123596,0.2799931725032852,0.11614173228346457,0.7763157894736842,0.20326809741694638,0.1721311475409836,0.48091603053435117,0.2841483590118025,0.7610679001936188,0.8136346795109299,0.7832918081317818,0.8136346795109299
12,120,210,37,4415,6463,7652,0,0,0,388,550,188,341,508,72,132,366,148,0.11904761904761904,0.6756756756756757,0.20776499240114404,0.982051678786941,0.8294563512807109,0.8910523078226241,0.0,0.0,0.0,0.17636363636363636,0.5159574468085106,0.29000789892097883,0.11023622047244094,0.7777777777777778,0.19421832701465114,0.21311475409836064,0.527027027027027,0.337919550275173,0.7637825767312036,0.8154872174879585,0.7872604531266901,0.8154872174879585
15,120,210,33,4415,6463,7658,0,0,0,388,550,192,341,508,74,132,366,140,0.10952380952380952,0.696969696969697,0.19310486053212805,0.982051678786941,0.8288064768869157,0.8909048364830549,0.0,0.0,0.0,0.1781818181818182,0.5104166666666666,0.29244566524474375,0.11220472440944881,0.7702702702702703,0.19725980428521583,0.20765027322404372,0.5428571428571428,0.3309931126123184,0.7633279677138864,0.8152402124243547,0.7871621680540263,0.8152402124243547
20,120,210,37,4415,6463,7653,0,0,0,388,550,195,341,508,73,132,366,139,0.12380952380952381,0.7027027027027027,0.21500160805705412,0.982051678786941,0.8293479681170782,0.8914208089183535,0.0,0.0,0.0,0.18363636363636363,0.517948717948718,0.29981063281790993,0.11023622047244094,0.7671232876712328,0.1942358283975838,0.21311475409836064,0.5611510791366906,0.3379725346169659,0.7649337559931991,0.816104730146968,0.7888841800026002,0.816104730146968
30,120,210,28,4415,6463,7694,0,0,0,388,550,193,341,508,71,132,366,111,0.09523809523809523,0.7142857142857143,0.1705384267338892,0.9832894940430141,0.8259682869768651,0.8910445627397537,0.0,0.0,0.0,0.18,0.5129533678756477,0.29484966709960686,0.1062992125984252,0.7605633802816901,0.18805883623204397,0.18579234972677597,0.6126126126126126,0.302575747150164,0.7611557376520647,0.8146226997653452,0.7880622211266395,0.8146226997653452
50,120,210,7,4415,6463,7753,0,0,0,388,550,193,341,508,54,132,366,90,0.023809523809523808,0.7142857142857143,0.046263582896536204,0.9863840321831967,0.822262350058042,0.8911261962475616,0.0,0.0,0.0,0.18,0.5129533678756477,0.2947199737230418,0.08267716535433071,0.7777777777777778,0.15008496451258502,0.16120218579234974,0.6555555555555556,0.2690364493730603,0.7540904590276484,0.8126466592565148,0.788125276670517,0.8126466592565148
