K,west_germany_learning_set,west_germany_expected,west_germany_result,usa_learning_set,usa_expected,usa_result,france_learning_set,france_expected,france_result,uk_learning_set,uk_expected,uk_result,canada_learning_set,canada_expected,canada_result,japan_learning_set,japan_expected,japan_result,west_germany_recall,west_germany_precision,west_germany_f1,usa_recall,usa_precision,usa_f1,france_recall,france_precision,france_f1,uk_recall,uk_precision,uk_f1,canada_recall,canada_precision,canada_f1,japan_recall,japan_precision,japan_f1,accuracy,recall,precision,f1
1,150,180,61,5430,5448,6392,0,0,0,518,420,124,456,393,67,192,306,103,0.2,0.5901639344262295,0.3215054388924437,0.9807268722466961,0.8358886107634543,0.8927031289768458,0.0,0.0,0.0,0.14523809523809525,0.49193548387096775,0.2467314109115312,0.10178117048346055,0.5970149253731343,0.18106536838178353,0.15359477124183007,0.4563106796116505,0.2586862686226798,0.7670463178037527,0.819178894323403,0.7767928703860434,0.819178894323403
2,150,180,65,5430,5448,6268,0,0,0,518,420,189,456,393,73,192,306,152,0.20555555555555555,0.5692307692307692,0.3285969613572829,0.9722834067547724,0.8450861518825782,0.8888393558848057,0.0,0.0,0.0,0.1976190476190476,0.43915343915343913,0.31837705896631585,0.10941475826972011,0.589041095890411,0.19302869961717586,0.20588235294117646,0.4144736842105263,0.32901438656062904,0.7724620290362662,0.8185860382392174,0.7780135521588292,0.8185860382392174
3,150,180,48,5430,5448,6374,0,0,0,518,420,124,456,393,56,192,306,145,0.17222222222222222,0.6458333333333334,0.2848406176237718,0.9820117474302497,0.8393473486037025,0.8955210518457843,0.0,0.0,0.0,0.14047619047619048,0.47580645161290325,0.23999050665248522,0.10941475826972011,0.7678571428571429,0.19315173208760542,0.22875816993464052,0.4827586206896552,0.35800927281870476,0.7731325748651413,0.8230324588706092,0.7912175870674792,0.8230324588706092
5,150,180,48,5430,5448,6361,0,0,0,518,420,140,456,393,60,192,306,138,0.18333333333333332,0.6875,0.29996789192077394,0.9816446402349486,0.8407483100141487,0.8962447157094618,0.0,0.0,0.0,0.1619047619047619,0.4857142857142857,0.2706614349454934,0.11704834605597965,0.7666666666666667,0.20499547187979272,0.2222222222222222,0.4927536231884058,0.3500888909866112,0.7763604054392553,0.824514599081073,0.7944611533500422,0.824514599081073
8,150,180,46,5430,5448,6343,0,0,0,518,420,144,456,393,68,192,306,146,0.17777777777777778,0.6956521739130435,0.2925182134105885,0.980359765051395,0.8420305848967365,0.8959711220560737,0.0,0.0,0.0,0.16904761904761906,0.4930555555555556,0.2805964447767415,0.13231552162849872,0.7647058823529411,0.2280534629328026,0.22875816993464052,0.4794520547945205,0.35819122715567925,0.7782697472393442,0.8249592411442123,0.7954535484936907,0.8249592411442123
12,150,180,42,5430,5448,6370,0,0,0,518,420,146,456,393,68,192,306,121,0.15555555555555556,0.6666666666666666,0.2617915978571716,0.9827459618208517,0.8405023547880691,0.8974042067359441,0.0,0.0,0.0,0.1761904761904762,0.5068493150684932,0.2904119547828219,0.13231552162849872,0.7647058823529411,0.228081757403906,0.20588235294117646,0.5206611570247934,0.32958507118317465,0.7779224528475303,0.8257003112494442,0.7961738946240491,0.8257003112494442
15,150,180,42,5430,5448,6373,0,0,0,518,420,137,456,393,63,192,306,132,0.15555555555555556,0.6666666666666666,0.2617692392935938,0.9827459618208517,0.8401067001412208,0.8971415317925624,0.0,0.0,0.0,0.16904761904761906,0.5182481751824818,0.2806135866839722,0.12213740458015267,0.7619047619047619,0.21278303238750357,0.21895424836601307,0.5075757575757576,0.3460860344633248,0.7769570613546851,0.825255669186305,0.7958073646350624,0.825255669186305
20,150,180,41,5430,5448,6370,0,0,0,518,420,138,456,393,66,192,306,132,0.15,0.6585365853658537,0.2538722738356591,0.9825624082232012,0.8403453689167975,0.8972401408436823,0.0,0.0,0.0,0.1738095238095238,0.5289855072463768,0.2871609513084888,0.1272264631043257,0.7575757575757576,0.22047530834877055,0.21895424836601307,0.5075757575757576,0.3461120934268009,0.7776828209464994,0.8255520972283978,0.7961994253465985,0.8255520972283978
30,150,180,40,5430,5448,6356,0,0,0,518,420,152,456,393,65,192,306,134,0.14444444444444443,0.65,0.24585662099991337,0.981093979441997,0.8409376966645689,0.8964525435636354,0.0,0.0,0.0,0.18571428571428572,0.5131578947368421,0.3031974716789082,0.12468193384223919,0.7538461538461538,0.21663417138215527,0.22875816993464052,0.5223880597014925,0.3582191610855761,0.7781566444145819,0.825255669186305,0.7959192488436697,0.825255669186305
50,150,180,9,5430,5448,6403,0,0,0,518,420,141,456,393,49,192,306,145,0.044444444444444446,0.8888888888888888,0.08433240643661394,0.9838472834067548,0.8371076058097767,0.8960197782179362,0.0,0.0,0.0,0.1761904761904762,0.524822695035461,0.2902188406933877,0.09414758269720101,0.7551020408163265,0.16895748664322568,0.23202614379084968,0.4896551724137931,0.3619559121991681,0.7700824513657719,0.82258781680747,0.7985145032112041,0.82258781680747
