K;west_germany_learning_set;west_germany_expected;west_germany_result;usa_learning_set;usa_expected;usa_result;france_learning_set;france_expected;france_result;uk_learning_set;uk_expected;uk_result;canada_learning_set;canada_expected;canada_result;japan_learning_set;japan_expected;japan_result;west_germany_recall;west_germany_precision;west_germany_f1;usa_recall;usa_precision;usa_f1;france_recall;france_precision;france_f1;uk_recall;uk_precision;uk_f1;canada_recall;canada_precision;canada_f1;japan_recall;japan_precision;japan_f1;accuracy;recall;precision;f1
1;103;227;138;4367;6511;7252;0;0;0;396;542;309;389;460;86;141;357;312;0,3303964757709251;0,5434782608695652;0,4709803363226261;0,9543848871141146;0,8568670711527855;0,8819934951252784;0,0;0,0;0,0;0,17896678966789667;0,313915857605178;0,2937968906313987;0,1;0,5348837209302325;0,17825637445117284;0,5770308123249299;0,6602564102564102;0,6773221112362634;0,819809806101025;0,7847760294435752;0,7820936178568639;0,819809806101025
2;103;227;36;4367;6511;7778;0;0;0;396;542;138;389;460;47;141;357;98;0,1145374449339207;0,7222222222222222;0,20091919234380035;0,9881738596221779;0,8272049370018;0,894674816109311;0,0;0,0;0,0;0,12177121771217712;0,4782608695652174;0,21196314418694032;0,06956521739130435;0,6808510638297872;0,12821760957854128;0,16806722689075632;0,6122448979591837;0,2788046534847422;0,817339755464987;0,7831117819563594;0,7588284266023552;0,817339755464987
3;103;227;110;4367;6511;7313;0;0;0;396;542;132;389;460;211;141;357;331;0,29955947136563876;0,6181818181818182;0,44228146947904123;0,9705114421747811;0,8640776699029126;0,9032785235112875;0,0;0,0;0,0;0,13653136531365315;0,5606060606060606;0,2350702131542906;0,3521739130434783;0,7677725118483413;0,49710707263205917;0,6078431372549019;0,6555891238670695;0,7069802799713927;0,8447573175250093;0,8222065133980981;0,8138957180491411;0,8447573175250093
5;103;227;108;4367;6511;7298;0;0;0;396;542;146;389;460;217;141;357;328;0,29955947136563876;0,6296296296296297;0,4424843304843305;0,9700506834587621;0,8654425870101398;0,9039250820414608;0,0;0,0;0,0;0,15682656826568267;0,5821917808219178;0,2646143403416925;0,358695652173913;0,7603686635944701;0,5038319490633199;0,6106442577030813;0,6646341463414634;0,709392564308968;0,8462393479066321;0,8250481080217098;0,8168873615764506;0,8462393479066321
8;103;227;54;4367;6511;7341;0;0;0;396;542;143;389;460;217;141;357;342;0,15859030837004406;0,6666666666666666;0,2670651808030233;0,9729688219935494;0,8629614493938156;0,904553699878021;0,0;0,0;0,0;0,15498154981549817;0,5874125874125874;0,261929791704545;0,358695652173913;0,7603686635944701;0,5036347639327041;0,6246498599439776;0,652046783625731;0,718352146669171;0,845127825120415;0,8238857897643487;0,8126790898878451;0,845127825120415
12;103;227;45;4367;6511;7326;0;0;0;396;542;141;389;460;222;141;357;363;0,13215859030837004;0,6666666666666666;0,22859158714852554;0,9729688219935494;0,8647283647283647;0,9048365860858945;0,0;0,0;0,0;0,15682656826568267;0,6028368794326241;0,26458413222591953;0,358695652173913;0,7432432432432432;0,5037224467047513;0,6498599439775911;0,6391184573002755;0,7349280561144033;0,8456218352476226;0,8247961573274408;0,8127414528185067;0,8456218352476226
15;103;227;44;4367;6511;7503;0;0;0;396;542;140;389;460;224;141;357;186;0,12334801762114538;0,6363636363636364;0,21487022989375643;0,9780371678697589;0,8487271757963482;0,8995811664437184;0,0;0,0;0,0;0,15498154981549817;0,6;0,26132921662413544;0,358695652173913;0,7366071428571429;0,5014190637897059;0,27450980392156865;0,5268817204301075;0,4129110707248317;0,8327775719402247;0,805564190066988;0,7935841637524076;0,8327775719402247
20;103;227;44;4367;6511;7489;0;0;0;396;542;148;389;460;228;141;357;188;0,12334801762114538;0,6363636363636364;0,2148661184304129;0,9768084779603747;0,8492455601548938;0,8989891008123544;0,0;0,0;0,0;0,15867158671586715;0,581081081081081;0,2665492243890711;0,3652173913043478;0,7368421052631579;0,5077335207691562;0,2801120448179272;0,5319148936170213;0,4192011798815766;0,8326540694084229;0,8049498973707958;0,7940934376513962;0,8326540694084229
30;103;227;37;4367;6511;7490;0;0;0;396;542;156;389;460;228;141;357;186;0,09251101321585903;0,5675675675675675;0,16648876007351904;0,9763477192443557;0,8487316421895861;0,8978577228006195;0,0;0,0;0,0;0,16236162361623616;0,5641025641025641;0,2716509154166821;0,3652173913043478;0,7368421052631579;0,5074346288610649;0,2661064425770308;0,510752688172043;0,40312877191256535;0,8310485364949981;0,8005383756917741;0,7914432850063282;0,8310485364949981
50;103;227;4;4367;6511;7435;0;0;0;396;542;127;389;460;212;141;357;319;0,00881057268722467;0,5;0,017438969034913054;0,9780371678697589;0,8564895763281776;0,9057418244345253;0,0;0,0;0,0;0,14022140221402213;0,5984251968503937;0,24046387394044974;0,34347826086956523;0,7452830188679245;0,4881535949560541;0,6302521008403361;0,7053291536050157;0,7214108340857199;0,8433987896751883;0,8162384567965807;0,8044546629601371;0,8433987896751883
