K,west_germany_learning_set,west_germany_expected,west_germany_result,usa_learning_set,usa_expected,usa_result,france_learning_set,france_expected,france_result,uk_learning_set,uk_expected,uk_result,canada_learning_set,canada_expected,canada_result,japan_learning_set,japan_expected,japan_result,west_germany_recall,west_germany_precision,west_germany_f1,usa_recall,usa_precision,usa_f1,france_recall,france_precision,france_f1,uk_recall,uk_precision,uk_f1,canada_recall,canada_precision,canada_f1,japan_recall,japan_precision,japan_f1,accuracy,recall,precision,f1
1,68,262,11,2216,8662,10674,0,0,0,206,732,16,130,719,13,78,420,81,0.015267175572519083,0.36363636363636365,0.02996865322121833,0.9978065111983375,0.8097245643620011,0.8934165856923638,0.0,0.0,0.0,0.009562841530054645,0.4375,0.01890219320430943,0.016689847009735744,0.9230769230769231,0.03270481989671193,0.15476190476190477,0.8024691358024691,0.2598098516833975,0.7809250809176217,0.8088003705419176,0.7311808764288589,0.8088003705419176
2,68,262,19,2216,8662,10701,0,0,0,206,732,0,130,719,10,78,420,65,0.019083969465648856,0.2631578947368421,0.03728623649112205,0.998268298314477,0.8080553219325297,0.8925263478340317,0.0,0.0,0.0,0.0,0.0,0.0,0.012517385257301807,0.9,0.024652405887488023,0.12142857142857143,0.7846153846153846,0.21109539301380065,0.7452488215413698,0.807040296433534,0.7269307423620155,0.807040296433534
3,68,262,17,2216,8662,10628,0,0,0,206,732,23,130,719,27,78,420,100,0.019083969465648856,0.29411764705882354,0.037289585222648164,0.996652043407989,0.8122882950696274,0.8937997303326022,0.0,0.0,0.0,0.01366120218579235,0.43478260869565216,0.02686934084093725,0.03616133518776078,0.9629629629629629,0.0692326006645716,0.17142857142857143,0.72,0.2829810181190682,0.7805587100841234,0.8101899027327466,0.7355406911026157,0.8101899027327466
5,68,262,1,2216,8662,10624,0,0,0,206,732,25,130,719,27,78,420,118,0.003816793893129771,1.0,0.007597794676244557,0.996652043407989,0.8125941265060241,0.8937997303326022,0.0,0.0,0.0,0.01366120218579235,0.4,0.02686934084093725,0.03616133518776078,0.9629629629629629,0.0692326006645716,0.18095238095238095,0.6440677966101694,0.2958319795982856,0.7926233597722855,0.8101899027327466,0.7353200477212458,0.8101899027327466
8,68,262,0,2216,8662,10624,0,0,0,206,732,22,130,719,27,78,420,122,0.0,0.0,0.0,0.996652043407989,0.8125941265060241,0.8937997303326022,0.0,0.0,0.0,0.01366120218579235,0.45454545454545453,0.02686934084093725,0.03616133518776078,0.9629629629629629,0.0692326006645716,0.18333333333333332,0.6311475409836066,0.29900622372786534,0.7715488591112497,0.8101899027327466,0.7352591454821766,0.8101899027327466
12,68,262,0,2216,8662,10716,0,0,0,206,732,25,130,719,0,78,420,54,0.0,0.0,0.0,0.997460170861233,0.8062709966405375,0.8900478654214852,0.0,0.0,0.0,0.01366120218579235,0.4,0.02686564298056871,0.0,0.0,0.0,0.05714285714285714,0.4444444444444444,0.10669782889476598,0.6913743436375176,0.803520148216767,0.7201550114940698,0.803520148216767
15,68,262,0,2216,8662,10715,0,0,0,206,732,25,130,719,0,78,420,55,0.0,0.0,0.0,0.997460170861233,0.8063462435837611,0.8900478654214852,0.0,0.0,0.0,0.01366120218579235,0.4,0.02686564298056871,0.0,0.0,0.0,0.05714285714285714,0.43636363636363634,0.10669782889476598,0.6911203232232761,0.803520148216767,0.7201550114940698,0.803520148216767
20,68,262,0,2216,8662,10760,0,0,0,206,732,25,130,719,0,78,420,10,0.0,0.0,0.0,0.9988455322096513,0.804089219330855,0.8900296705337597,0.0,0.0,0.0,0.01366120218579235,0.4,0.026865124609340964,0.0,0.0,0.0,0.004761904761904762,0.2,0.009467636669608002,0.6801130910462128,0.802593793422881,0.7163574511142843,0.802593793422881
30,68,262,0,2216,8662,10760,0,0,0,206,732,25,130,719,0,78,420,10,0.0,0.0,0.0,0.9988455322096513,0.804089219330855,0.8900296705337597,0.0,0.0,0.0,0.01366120218579235,0.4,0.026865124609340964,0.0,0.0,0.0,0.004761904761904762,0.2,0.009467636669608002,0.6801130910462128,0.802593793422881,0.7163574511142843,0.802593793422881
50,68,262,0,2216,8662,10770,0,0,0,206,732,25,130,719,0,78,420,0,0.0,0.0,0.0,0.9994227661048257,0.8038068709377901,0.8904296942091425,0.0,0.0,0.0,0.01366120218579235,0.4,0.026865280244208402,0.0,0.0,0.0,0.0,0.0,0.0,0.6721051520206706,0.8028716998610468,0.7163100876682125,0.8028716998610468
