K,west_germany_learning_set,west_germany_expected,west_germany_result,usa_learning_set,usa_expected,usa_result,france_learning_set,france_expected,france_result,uk_learning_set,uk_expected,uk_result,canada_learning_set,canada_expected,canada_result,japan_learning_set,japan_expected,japan_result,west_germany_recall,west_germany_precision,west_germany_f1,usa_recall,usa_precision,usa_f1,france_recall,france_precision,france_f1,uk_recall,uk_precision,uk_f1,canada_recall,canada_precision,canada_f1,japan_recall,japan_precision,japan_f1,accuracy,recall,precision,f1
1,120,210,12,4415,6463,7990,0,0,0,388,550,8,341,508,21,132,366,66,0.047619047619047616,0.8333333333333334,0.08993584851172672,0.9979885502088813,0.8072590738423029,0.8928217096446778,0.0,0.0,0.0,0.005454545454545455,0.375,0.01083591459509882,0.03937007874015748,0.9523809523809523,0.07508050489917514,0.1557377049180328,0.8636363636363636,0.26112639917286856,0.7902267293001404,0.8077065579844387,0.8077065579844387,0.7322299801450377
2,120,210,15,4415,6463,8013,0,0,0,388,550,11,341,508,13,132,366,45,0.047619047619047616,0.6666666666666666,0.0899120080670783,0.997524369487854,0.8045675776862599,0.8902929155118247,0.0,0.0,0.0,0.0036363636363636364,0.18181818181818182,0.007239977042076179,0.021653543307086614,0.8461538461538461,0.04217114952443414,0.10655737704918032,0.8666666666666667,0.1881717979138475,0.7641060156147278,0.8038779794985798,0.8038779794985798,0.7246042292225555
3,120,210,19,4415,6463,7976,0,0,0,388,550,7,341,508,23,132,366,72,0.047619047619047616,0.5263157894736842,0.08993890916087711,0.9978338233018722,0.8085506519558676,0.8930614684944176,0.0,0.0,0.0,0.0036363636363636364,0.2857142857142857,0.0072401514191814224,0.045275590551181105,1.0,0.08574758095735097,0.16393442622950818,0.8333333333333334,0.2725792141687875,0.7788479728940475,0.8082005681116463,0.8082005681116463,0.733364121106072
5,120,210,12,4415,6463,7977,0,0,0,388,550,10,341,508,23,132,366,75,0.014285714285714285,0.25,0.02807450160778611,0.9973696425808448,0.8080732104801304,0.8921967768640314,0.0,0.0,0.0,0.0036363636363636364,0.2,0.0072401067569528845,0.045275590551181105,1.0,0.08574131684127632,0.16666666666666666,0.8133333333333334,0.2762804658929968,0.7645741829483862,0.8070890453254291,0.8070890453254291,0.731236348326343
8,120,210,1,4415,6463,7972,0,0,0,388,550,11,341,508,22,132,366,91,0.004761904761904762,1.0,0.009467956197665316,0.9973696425808448,0.8085800301053688,0.8922722329956034,0.0,0.0,0.0,0.0036363636363636364,0.18181818181818182,0.007240111725469496,0.04330708661417323,1.0,0.08220391936707463,0.17759562841530055,0.7142857142857143,0.2911377528241575,0.7787182050141498,0.8072125478572311,0.8072125478572311,0.7312636510649893
12,120,210,1,4415,6463,7965,0,0,0,388,550,11,341,508,24,132,366,96,0.004761904761904762,1.0,0.009467939201745788,0.9967507349528083,0.8087884494664156,0.8918736364303228,0.0,0.0,0.0,0.0036363636363636364,0.18181818181818182,0.007240101786922275,0.045275590551181105,0.9583333333333334,0.08574061981975196,0.18032786885245902,0.6875,0.29478243215808353,0.7750596618790635,0.8069655427936273,0.8069655427936273,0.7313321280107006
15,120,210,1,4415,6463,7987,0,0,0,388,550,11,341,508,0,132,366,98,0.004761904761904762,1.0,0.009467768671917981,0.9969054618598174,0.806685864529861,0.8904246979384614,0.0,0.0,0.0,0.007272727272727273,0.36363636363636365,0.014415140101707068,0.0,0.0,0.0,0.18032786885245902,0.673469387755102,0.29461721430612575,0.7249722784210026,0.8044954921575892,0.8044954921575892,0.7252761864504582
20,120,210,1,4415,6463,8044,0,0,0,388,550,11,341,508,0,132,366,41,0.004761904761904762,1.0,0.009467407148974889,0.9976790963948631,0.8015912481352561,0.887544600059091,0.0,0.0,0.0,0.007272727272727273,0.36363636363636365,0.014414302052234026,0.0,0.0,0.0,0.05191256830601093,0.4634146341463415,0.0974932559526995,0.7114108920335582,0.7993083858219093,0.7993083858219093,0.7140668523515631
30,120,210,1,4415,6463,8075,0,0,0,388,550,11,341,508,2,132,366,8,0.004761904761904762,1.0,0.009467337757966281,0.9989169116509361,0.7995046439628483,0.8874239636459614,0.0,0.0,0.0,0.007272727272727273,0.36363636363636365,0.014414141200160107,0.001968503937007874,0.5,0.003927323851414222,0.00546448087431694,0.25,0.01085466188752562,0.7314682615699504,0.7983203655674941,0.7983203655674941,0.7103007141410971
50,120,210,0,4415,6463,8074,0,0,0,388,550,13,341,508,2,132,366,8,0.0,0.0,0.0,0.998762184743927,0.7994798117413922,0.8872102905921312,0.0,0.0,0.0,0.007272727272727273,0.3076923076923077,0.01441410092547361,0.001968503937007874,0.5,0.003927320861567409,0.00546448087431694,0.25,0.010854639047976598,0.7017128309886855,0.7980733605038903,0.7980733605038903,0.709884616585796
