K,west_germany_learning_set,west_germany_expected,west_germany_result,usa_learning_set,usa_expected,usa_result,france_learning_set,france_expected,france_result,uk_learning_set,uk_expected,uk_result,canada_learning_set,canada_expected,canada_result,japan_learning_set,japan_expected,japan_result,west_germany_recall,west_germany_precision,west_germany_f1,usa_recall,usa_precision,usa_f1,france_recall,france_precision,france_f1,uk_recall,uk_precision,uk_f1,canada_recall,canada_precision,canada_f1,japan_recall,japan_precision,japan_f1,accuracy,recall,precision,f1
1,171,159,7,6626,4252,5300,0,0,0,545,393,6,541,308,14,211,287,72,0.0440251572327044,1.0,0.08345429860628668,0.9969426152398871,0.799811320754717,0.8873139873708209,0.0,0.0,0.0,0.002544529262086514,0.16666666666666666,0.005072911346877945,0.045454545454545456,1.0,0.08601807655130493,0.1916376306620209,0.7638888888888888,0.30916160524915726,0.7229755343994745,0.7691301809520592,0.7994072976477126,0.7994072976477126
2,171,159,8,6626,4252,5318,0,0,0,545,393,9,541,308,11,211,287,53,0.0440251572327044,0.875,0.08344418344875125,0.9974129821260583,0.7974802557352388,0.8863576128982891,0.0,0.0,0.0,0.002544529262086514,0.1111111111111111,0.005072873966884948,0.03571428571428571,1.0,0.06836711202140243,0.1602787456445993,0.8679245283018868,0.26691713112191545,0.718969461347554,0.7650994728052497,0.7975551027968142,0.7975551027968142
3,171,159,7,6626,4252,5302,0,0,0,545,393,6,541,308,17,211,287,67,0.03773584905660377,0.8571428571428571,0.07207192173713522,0.9969426152398871,0.7995096190116937,0.8876561732248789,0.0,0.0,0.0,0.007633587786259542,0.5,0.015122866726892021,0.05519480519480519,1.0,0.10326468757801319,0.18815331010452963,0.8059701492537313,0.30465175667935257,0.7243855063295166,0.7911861543173284,0.7999629561029821,0.7999629561029821
5,171,159,9,6626,4252,5297,0,0,0,545,393,10,541,308,17,211,287,66,0.031446540880503145,0.5555555555555556,0.0605153256007417,0.9976481655691439,0.8008306588635077,0.8881638843428721,0.0,0.0,0.0,0.010178117048346057,0.4,0.0201006077049616,0.05519480519480519,1.0,0.10326777263011096,0.18466898954703834,0.803030303030303,0.30009421637268274,0.7245652576205768,0.7759094261512622,0.8003333950731617,0.8003333950731617
8,171,159,8,6626,4252,5296,0,0,0,545,393,10,541,308,16,211,287,69,0.006289308176100629,0.125,0.012480359276932026,0.9967074317968015,0.800226586102719,0.8868784976787148,0.0,0.0,0.0,0.007633587786259542,0.3,0.015122667872833544,0.05194805194805195,1.0,0.09755242481559075,0.1916376306620209,0.7971014492753623,0.30912002793893056,0.7219297189462172,0.7551595777089813,0.7988516391924431,0.7988516391924431
12,171,159,0,6626,4252,5293,0,0,0,545,393,10,541,308,17,211,287,79,0.0,0.0,0.0,0.9967074317968015,0.8006801435858681,0.8873348849230613,0.0,0.0,0.0,0.007633587786259542,0.3,0.015122800503042424,0.05519480519480519,1.0,0.10326159985197889,0.20557491289198607,0.7468354430379747,0.32706225281216295,0.72320107994111,0.749163501144473,0.7995925171328023,0.7995925171328023
15,171,159,0,6626,4252,5293,0,0,0,545,393,13,541,308,17,211,287,76,0.0,0.0,0.0,0.9967074317968015,0.8006801435858681,0.8872208234097521,0.0,0.0,0.0,0.010178117048346057,0.3076923076923077,0.020100315289931683,0.05519480519480519,1.0,0.10326005498514892,0.1986062717770035,0.75,0.3181666219401398,0.7230006079791544,0.749891655389922,0.7994072976477126,0.7994072976477126
20,171,159,0,6626,4252,5290,0,0,0,545,393,16,541,308,17,211,287,76,0.0,0.0,0.0,0.996472248353716,0.800945179584121,0.8870135739702041,0.0,0.0,0.0,0.010178117048346057,0.25,0.020100256726627776,0.05519480519480519,1.0,0.10325850944853016,0.1986062717770035,0.75,0.3181519492312508,0.7228365156055546,0.7459008897187781,0.7992220781626227,0.7992220781626227
30,171,159,0,6626,4252,5297,0,0,0,545,393,9,541,308,17,211,287,76,0.0,0.0,0.0,0.9969426152398871,0.8002643005474797,0.8873139873708209,0.0,0.0,0.0,0.007633587786259542,0.3333333333333333,0.015122767368319624,0.05519480519480519,1.0,0.10326005498514892,0.1986062717770035,0.75,0.3181666219401398,0.7227116575863541,0.7514305993568964,0.7994072976477126,0.7994072976477126
50,171,159,0,6626,4252,5383,0,0,0,545,393,10,541,308,1,211,287,5,0.0,0.0,0.0,0.998824082784572,0.7889652610068735,0.880695403456851,0.0,0.0,0.0,0.007633587786259542,0.3,0.015120614639471845,0.003246753246753247,1.0,0.006466846385782672,0.003484320557491289,0.2,0.006937946012271942,0.6954329016936814,0.7108687330619052,0.7875532506019634,0.7875532506019634
