K,west_germany_learning_set,west_germany_expected,west_germany_result,usa_learning_set,usa_expected,usa_result,france_learning_set,france_expected,france_result,uk_learning_set,uk_expected,uk_result,canada_learning_set,canada_expected,canada_result,japan_learning_set,japan_expected,japan_result,west_germany_recall,west_germany_precision,west_germany_f1,usa_recall,usa_precision,usa_f1,france_recall,france_precision,france_f1,uk_recall,uk_precision,uk_f1,canada_recall,canada_precision,canada_f1,japan_recall,japan_precision,japan_f1,accuracy,recall,precision,f1
1,192,138,65,6495,4383,4975,0,0,0,619,319,91,521,328,39,267,231,229,0.30434782608695654,0.6461538461538462,0.4470136770638591,0.9765001140771161,0.8603015075376884,0.9039600448994413,0.0,0.0,0.0,0.1536050156739812,0.5384615384615384,0.2597866222265791,0.08841463414634146,0.7435897435897436,0.16001578939377836,0.6190476190476191,0.6244541484716157,0.7133160214988828,0.8008664338964147,0.8414521207631043,0.8414521207631043,0.8186305451510518
2,192,138,85,6495,4383,4986,0,0,0,619,319,77,521,328,160,267,231,91,0.34057971014492755,0.5529411764705883,0.4850807983982122,0.9774127310061602,0.8592057761732852,0.9049923233444515,0.0,0.0,0.0,0.14106583072100312,0.5844155844155844,0.24167013953246763,0.3628048780487805,0.74375,0.5072078322721432,0.23376623376623376,0.5934065934065934,0.3659898760769239,0.8078390643207212,0.8425634376736433,0.8425634376736433,0.8167550090435164
3,192,138,66,6495,4383,4859,0,0,0,619,319,81,521,328,156,267,231,237,0.3188405797101449,0.6666666666666666,0.4642228181587089,0.9703399498060689,0.8752829800370446,0.9080676958573057,0.0,0.0,0.0,0.14106583072100312,0.5555555555555556,0.24210726689664996,0.36585365853658536,0.7692307692307693,0.5121316772395802,0.6277056277056277,0.6118143459915611,0.7233231839365222,0.8254162851662202,0.8533061678088535,0.8533061678088535,0.8333440136981538
5,192,138,58,6495,4383,4861,0,0,0,619,319,78,521,328,158,267,231,244,0.2971014492753623,0.7068965517241379,0.44084428053917735,0.971252566735113,0.8757457313310019,0.9088868256181547,0.0,0.0,0.0,0.14420062695924765,0.5897435897435898,0.24674060920289684,0.36585365853658536,0.759493670886076,0.5122650313291561,0.6363636363636364,0.6024590163934426,0.7293083579998646,0.8260216489550721,0.8540470457492129,0.8540470457492129,0.8357761486437185
8,192,138,57,6495,4383,4862,0,0,0,619,319,80,521,328,161,267,231,239,0.2898550724637681,0.7017543859649122,0.4327689371621194,0.971708875199635,0.8759769642122583,0.9088766658298528,0.0,0.0,0.0,0.14106583072100312,0.5625,0.24212217185590224,0.36585365853658536,0.7453416149068323,0.5121983745378842,0.6277056277056277,0.606694560669456,0.7234562395062824,0.8252796759875952,0.8536766067790331,0.8536766067790331,0.8335441994090705
12,192,138,58,6495,4383,4867,0,0,0,619,319,81,521,328,153,267,231,240,0.2971014492753623,0.7068965517241379,0.44091827090599944,0.9721651836641569,0.8754879802753236,0.9096010504784817,0.0,0.0,0.0,0.14420062695924765,0.5679012345679012,0.2467637860273686,0.36585365853658536,0.7843137254901961,0.5123649406460639,0.6320346320346321,0.6083333333333333,0.7266580658523221,0.8264974045413482,0.8546027042044824,0.8546027042044824,0.8360355505598479
15,192,138,55,6495,4383,4868,0,0,0,619,319,82,521,328,152,267,231,242,0.2753623188405797,0.6909090909090909,0.4164299416883978,0.9721651836641569,0.8753081347576006,0.9091812274852132,0.0,0.0,0.0,0.14420062695924765,0.5609756097560976,0.2467328778598954,0.3628048780487805,0.7828947368421053,0.5092359882129119,0.6320346320346321,0.6033057851239669,0.7263901090243498,0.8253272753058815,0.853861826264123,0.853861826264123,0.8347703905812299
20,192,138,48,6495,4383,4873,0,0,0,619,319,81,521,328,153,267,231,244,0.2318840579710145,0.6666666666666666,0.36461911597287533,0.971937029431896,0.874204801970039,0.9084512052505436,0.0,0.0,0.0,0.14420062695924765,0.5679012345679012,0.24668642947415015,0.36585365853658536,0.7843137254901961,0.5120315552606312,0.6320346320346321,0.5983606557377049,0.7259876723883749,0.8235602044946925,0.852750509353584,0.852750509353584,0.8335388691050258
30,192,138,48,6495,4383,4873,0,0,0,619,319,81,521,328,153,267,231,244,0.2318840579710145,0.6666666666666666,0.36461911597287533,0.971937029431896,0.874204801970039,0.9084512052505436,0.0,0.0,0.0,0.14420062695924765,0.5679012345679012,0.24668642947415015,0.36585365853658536,0.7843137254901961,0.5120315552606312,0.6320346320346321,0.5983606557377049,0.7259876723883749,0.8235602044946925,0.852750509353584,0.852750509353584,0.8335388691050258
50,192,138,47,6495,4383,4874,0,0,0,619,319,81,521,328,152,267,231,245,0.2246376811594203,0.6595744680851063,0.3555682944002393,0.971937029431896,0.8740254411161263,0.9082409561794629,0.0,0.0,0.0,0.14420062695924765,0.5679012345679012,0.24667092365846496,0.3628048780487805,0.7828947368421053,0.5089721492776044,0.6320346320346321,0.5959183673469388,0.7258533929377806,0.8229656527024545,0.8523800703834044,0.8523800703834044,0.8330212808624267
