K,west_germany_learning_set,west_germany_expected,west_germany_result,usa_learning_set,usa_expected,usa_result,france_learning_set,france_expected,france_result,uk_learning_set,uk_expected,uk_result,canada_learning_set,canada_expected,canada_result,japan_learning_set,japan_expected,japan_result,west_germany_recall,west_germany_precision,west_germany_f1,usa_recall,usa_precision,usa_f1,france_recall,france_precision,france_f1,uk_recall,uk_precision,uk_f1,canada_recall,canada_precision,canada_f1,japan_recall,japan_precision,japan_f1,accuracy,recall,precision,f1
1,171,159,8,6626,4252,5308,0,0,0,545,393,8,541,308,17,211,287,58,0.0440251572327044,0.875,0.08344621004060794,0.9967074317968015,0.7984174830444611,0.8863074837194626,0.0,0.0,0.0,0.002544529262086514,0.125,0.005072881456722422,0.05519480519480519,1.0,0.10324767190146668,0.156794425087108,0.7758620689655172,0.2620879020597545,0.7206631823339331,0.7979255417669939,0.7979255417669939,0.7619547234114007
2,171,159,15,6626,4252,5290,0,0,0,545,393,1,541,308,19,211,287,74,0.0440251572327044,0.4666666666666667,0.08345933954350801,0.9969426152398871,0.8013232514177694,0.8878841795802751,0.0,0.0,0.0,0.0,0.0,0.0,0.05844155844155844,0.9473684210526315,0.10892895907006057,0.1986062717770035,0.7702702702702703,0.3182399038678959,0.7248450710069294,0.8003333950731617,0.8003333950731617,0.7398191343360129
3,171,159,13,6626,4252,5286,0,0,0,545,393,9,541,308,19,211,287,72,0.03773584905660377,0.46153846153846156,0.07207342448845132,0.996472248353716,0.8015512674990541,0.8876975877035881,0.0,0.0,0.0,0.010178117048346057,0.4444444444444444,0.0201006077049616,0.05844155844155844,0.9473684210526315,0.10892895907006057,0.1951219512195122,0.7777777777777778,0.3137511175250621,0.7255873395741141,0.8003333950731617,0.8003333950731617,0.7725984381114452
5,171,159,13,6626,4252,5286,0,0,0,545,393,9,541,308,19,211,287,72,0.03773584905660377,0.46153846153846156,0.07207342448845132,0.996472248353716,0.8015512674990541,0.8876975877035881,0.0,0.0,0.0,0.010178117048346057,0.4444444444444444,0.0201006077049616,0.05844155844155844,0.9473684210526315,0.10892895907006057,0.1951219512195122,0.7777777777777778,0.3137511175250621,0.7255873395741141,0.8003333950731617,0.8003333950731617,0.7725984381114452
8,171,159,8,6626,4252,5290,0,0,0,545,393,5,541,308,19,211,287,77,0.006289308176100629,0.125,0.01248040446344384,0.9962370649106302,0.8007561436672967,0.8869203851641427,0.0,0.0,0.0,0.007633587786259542,0.6,0.015122734218384197,0.05844155844155844,0.9473684210526315,0.10891865247699835,0.1986062717770035,0.7402597402597403,0.3181519492312508,0.7230912485585723,0.7992220781626227,0.7992220781626227,0.7713899133195224
12,171,159,0,6626,4252,5298,0,0,0,545,393,6,541,308,20,211,287,75,0.0,0.0,0.0,0.9969426152398871,0.8001132502831257,0.886971589757022,0.0,0.0,0.0,0.002544529262086514,0.16666666666666666,0.005072900151022579,0.05519480519480519,0.85,0.10325541636418302,0.1951219512195122,0.7466666666666667,0.3136370866946938,0.7214694131372021,0.7988516391924431,0.7988516391924431,0.7304454294382634
15,171,159,0,6626,4252,5290,0,0,0,545,393,6,541,308,20,211,287,83,0.0,0.0,0.0,0.9962370649106302,0.8007561436672967,0.8868063245226806,0.0,0.0,0.0,0.002544529262086514,0.16666666666666666,0.005072903884699034,0.05519480519480519,0.85,0.10325696324168687,0.20905923344947736,0.7228915662650602,0.3314089489634828,0.7222840629983486,0.7990368586775328,0.7990368586775328,0.7296879056105608
20,171,159,0,6626,4252,5290,0,0,0,545,393,6,541,308,20,211,287,83,0.0,0.0,0.0,0.9962370649106302,0.8007561436672967,0.8868063245226806,0.0,0.0,0.0,0.002544529262086514,0.16666666666666666,0.005072903884699034,0.05519480519480519,0.85,0.10325696324168687,0.20905923344947736,0.7228915662650602,0.3314089489634828,0.7222840629983486,0.7990368586775328,0.7990368586775328,0.7296879056105608
30,171,159,0,6626,4252,5290,0,0,0,545,393,0,541,308,26,211,287,83,0.0,0.0,0.0,0.9962370649106302,0.8007561436672967,0.8868063245226806,0.0,0.0,0.0,0.0,0.0,0.0,0.05844155844155844,0.6923076923076923,0.10891693211416838,0.20905923344947736,0.7228915662650602,0.3314089489634828,0.7222376875929101,0.7990368586775328,0.7990368586775328,0.7085600614228909
50,171,159,0,6626,4252,5321,0,0,0,545,393,0,541,308,24,211,287,54,0.0,0.0,0.0,0.9978833490122295,0.7974065025371171,0.886085387106587,0.0,0.0,0.0,0.0,0.0,0.0,0.05519480519480519,0.7083333333333334,0.10323835632295053,0.14634146341463414,0.7777777777777778,0.24726980112656624,0.7168732936929063,0.7968142248564549,0.7968142248564549,0.7097539058486221
