K,west_germany_learning_set,west_germany_expected,west_germany_result,usa_learning_set,usa_expected,usa_result,france_learning_set,france_expected,france_result,uk_learning_set,uk_expected,uk_result,canada_learning_set,canada_expected,canada_result,japan_learning_set,japan_expected,japan_result,west_germany_recall,west_germany_precision,west_germany_f1,usa_recall,usa_precision,usa_f1,france_recall,france_precision,france_f1,uk_recall,uk_precision,uk_f1,canada_recall,canada_precision,canada_f1,japan_recall,japan_precision,japan_f1,accuracy,recall,precision,f1
1,192,138,99,6495,4383,4939,0,0,0,619,319,84,521,328,64,267,231,213,0.39855072463768115,0.5555555555555556,0.540520911133779,0.9710244125028519,0.8617128973476412,0.9005424344510817,0.0,0.0,0.0,0.15047021943573669,0.5714285714285714,0.2552037058865961,0.11890243902439024,0.609375,0.2083051281824689,0.5844155844155844,0.6338028169014085,0.689143169886283,0.839599925912206,0.8116546509967248,0.8021106709392402,0.839599925912206
2,192,138,99,6495,4383,411,0,0,0,619,319,4486,521,328,164,267,231,239,0.39855072463768115,0.5555555555555556,0.24908024607035278,0.08601414556240018,0.9172749391727494,0.11664225718550641,0.0,0.0,0.0,0.877742946708464,0.06241640659830584,0.3003122220625958,0.36890243902439024,0.7378048780487805,0.2429781235915952,0.6277056277056277,0.606694560669456,0.28115344086330624,0.18114465641785515,0.833328394569426,0.14559343497262794,0.18114465641785515
3,192,138,48,6495,4383,505,0,0,0,619,319,4465,521,328,155,267,231,226,0.2391304347826087,0.6875,0.208397069861569,0.0974218571754506,0.8455445544554455,0.12755197428580675,0.0,0.0,0.0,0.8338557993730408,0.059574468085106386,0.3023662948493795,0.38414634146341464,0.8129032258064516,0.24942568674363888,0.6277056277056277,0.6415929203539823,0.2853739086148119,0.18466382663456196,0.7843565956961757,0.15410389796897106,0.18466382663456196
5,192,138,46,6495,4383,507,0,0,0,619,319,4459,521,328,154,267,231,233,0.21014492753623187,0.6304347826086957,0.19710561748974895,0.09856262833675565,0.8520710059171598,0.12874936757655336,0.0,0.0,0.0,0.8557993730407524,0.061224489795918366,0.30503048398022936,0.38109756097560976,0.8116883116883117,0.24961859673492898,0.6190476190476191,0.6137339055793991,0.2855670894123579,0.18558992406001112,0.7870279921471414,0.154964748115322,0.18558992406001112
8,192,138,45,6495,4383,4853,0,0,0,619,319,98,521,328,159,267,231,244,0.21739130434782608,0.6666666666666666,0.34655140011276075,0.9710244125028519,0.8769833092932207,0.9086820433989858,0.0,0.0,0.0,0.15987460815047022,0.5204081632653061,0.2693221240833729,0.3902439024390244,0.8050314465408805,0.5356688961996268,0.6277056277056277,0.5942622950819673,0.7235227423400703,0.853861826264123,0.8340716712989743,0.8259537689294212,0.853861826264123
12,192,138,34,6495,4383,4857,0,0,0,619,319,101,521,328,162,267,231,245,0.16666666666666666,0.6764705882352942,0.2788458627266947,0.9703399498060689,0.8756434012765081,0.9078578977418401,0.0,0.0,0.0,0.1724137931034483,0.5445544554455446,0.2868444001494954,0.3902439024390244,0.7901234567901234,0.5354865201734081,0.6320346320346321,0.5959183673469388,0.7260547869907759,0.8529357288386739,0.8338263524620927,0.8246866999292841,0.8529357288386739
15,192,138,32,6495,4383,4863,0,0,0,619,319,98,521,328,165,267,231,241,0.15942028985507245,0.6875,0.2686129295801547,0.9710244125028519,0.87517993008431,0.9079473399508118,0.0,0.0,0.0,0.16300940438871472,0.5306122448979592,0.2736896870113572,0.3902439024390244,0.7757575757575758,0.5354134936588308,0.6277056277056277,0.6016597510373444,0.7230568730134311,0.8525652898684941,0.8322811311391165,0.8235878031171125,0.8525652898684941
20,192,138,32,6495,4383,4858,0,0,0,619,319,101,521,328,164,267,231,244,0.15942028985507245,0.6875,0.2685853355591591,0.9703399498060689,0.8754631535611362,0.9073330292935816,0.0,0.0,0.0,0.16300940438871472,0.5148514851485149,0.2736610401407661,0.3871951219512195,0.774390243902439,0.5324285147276818,0.6320346320346321,0.5983606557377049,0.7257190464509896,0.8520096314132247,0.8313556097974155,0.8230192569117788,0.8520096314132247
30,192,138,39,6495,4383,4956,0,0,0,619,319,104,521,328,164,267,231,136,0.18840579710144928,0.6666666666666666,0.3078887635090938,0.974218571754506,0.8615819209039548,0.9030878740236056,0.0,0.0,0.0,0.1786833855799373,0.5480769230769231,0.2947830139664788,0.3871951219512195,0.774390243902439,0.5303861716231525,0.27705627705627706,0.47058823529411764,0.4168807339449541,0.8416373402481941,0.8160503760208399,0.8084876266898875,0.8416373402481941
50,192,138,62,6495,4383,4835,0,0,0,619,319,108,521,328,159,267,231,235,0.2971014492753623,0.6612903225806451,0.44077021870767785,0.9682865617157198,0.8777662874870734,0.9072721967088082,0.0,0.0,0.0,0.1755485893416928,0.5185185185185185,0.29120192112378523,0.3719512195121951,0.7672955974842768,0.5181102086445707,0.6277056277056277,0.6170212765957447,0.7233897200405132,0.8534913872939434,0.8331394667249193,0.827437843111619,0.8534913872939434
