Summary,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,T
almost_none Block Groups that are practically worthless are aged,0.0,0.5,0.48868028713418,0.09601971286582,1.0,0.8,0.8,0.5,0.824740928903386,0.824740928903386,1.0,0.6212892598006158
around 20 % Block Groups that are practically worthless are aged,0.012257102037801426,0.5,0.48868028713418,0.09601971286582,1.0,0.6283077811150161,0.6283077811150161,0.5,0.824740928903386,0.824740928903386,1.0,0.5911867747340551
nearly 1/3 Block Groups that are practically worthless are aged,1.0,0.5,0.48868028713418,0.09601971286582,1.0,0.8,0.8,0.5,0.824740928903386,0.824740928903386,1.0,0.7121983507097066
approximately half Block Groups that are practically worthless are aged,0.0,0.5,0.48868028713418,0.09601971286582,1.0,0.7,0.7,0.5,0.824740928903386,0.824740928903386,1.0,0.6031074416187975
most Block Groups that are practically worthless are aged,0.0,0.5,0.48868028713418,0.09601971286582,1.0,0.55,0.55,0.5,0.824740928903386,0.824740928903386,1.0,0.5758347143460701
almost all Block Groups that are practically worthless are aged,0.0,0.5,0.48868028713418,0.09601971286582,1.0,0.8,0.8,0.5,0.824740928903386,0.824740928903386,1.0,0.6212892598006158
