K,west_germany_learning_set,west_germany_expected,west_germany_result,usa_learning_set,usa_expected,usa_result,france_learning_set,france_expected,france_result,uk_learning_set,uk_expected,uk_result,canada_learning_set,canada_expected,canada_result,japan_learning_set,japan_expected,japan_result,west_germany_recall,west_germany_precision,west_germany_f1,usa_recall,usa_precision,usa_f1,france_recall,france_precision,france_f1,uk_recall,uk_precision,uk_f1,canada_recall,canada_precision,canada_f1,japan_recall,japan_precision,japan_f1,accuracy,recall,precision,f1
1,150,180,107,5430,5448,6069,0,0,0,518,420,105,456,393,197,192,306,269,0.32222222222222224,0.5420560747663551,0.46648969125270084,0.967143906020558,0.8681825671445048,0.9017684665004307,0.0,0.0,0.0,0.14523809523809525,0.580952380952381,0.247857955394138,0.3486005089058524,0.6954314720812182,0.4935219020203878,0.5686274509803921,0.6468401486988847,0.6796912270312063,0.8215008705040734,0.8446717059433823,0.8446717059433823,0.8155984458501456
5,150,180,100,5430,5448,6053,0,0,0,518,420,118,456,393,187,192,306,289,0.3055555555555556,0.55,0.4491879714817156,0.9678781204111601,0.8711382785395672,0.9037752140987472,0.0,0.0,0.0,0.1523809523809524,0.5423728813559322,0.25832278208532183,0.3638676844783715,0.7647058823529411,0.5091645218448083,0.6013071895424836,0.6366782006920415,0.7035329213608597,0.825272105058474,0.84763598636431,0.84763598636431,0.8194011413626725
15,150,180,90,5430,5448,6027,0,0,0,518,420,125,456,393,196,192,306,309,0.29444444444444445,0.5888888888888889,0.4372224875058609,0.967143906020558,0.8742326198772192,0.9041280638526921,0.0,0.0,0.0,0.16428571428571428,0.552,0.2752902155887231,0.36895674300254455,0.7397959183673469,0.5143439538733972,0.6241830065359477,0.6181229773462783,0.7193732348307658,0.8271149755561611,0.8488216985326812,0.8488216985326812,0.8214431619828434
30,150,180,89,5430,5448,6024,0,0,0,518,420,131,456,393,197,192,306,306,0.28888888888888886,0.5842696629213483,0.43099123523516564,0.9662261380323054,0.8738379814077025,0.9033907012555883,0.0,0.0,0.0,0.16904761904761906,0.5419847328244275,0.28191169588756637,0.36895674300254455,0.7360406091370558,0.5142350595856672,0.6241830065359477,0.6241830065359477,0.7191602396777541,0.8261057372479813,0.8482288424484956,0.8482288424484956,0.8210777066569012
50,150,180,75,5430,5448,6064,0,0,0,518,420,119,456,393,189,192,306,300,0.24444444444444444,0.5866666666666667,0.37938475374758185,0.9684287812041116,0.8700527704485488,0.9035935714460842,0.0,0.0,0.0,0.15714285714285714,0.5546218487394958,0.26509657378684387,0.35368956743002544,0.7354497354497355,0.498986786285883,0.6176470588235294,0.63,0.7143286611918573,0.8241293042694573,0.8468949162590781,0.8468949162590781,0.8177106819680402
