Summary,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,T
few houses in Block Groups are aged,0.0,0.5,0.5847,0.0,1.0,0.965,0.965,0.5,0.0,0.0,1.0,0.5013363636363636
hundreds houses in Block Groups are aged,0.0,0.5,0.5847,0.0,1.0,0.91,0.91,0.5,0.0,0.0,1.0,0.4913363636363637
around 1000 houses in Block Groups are aged,0.0,0.5,0.5847,0.0,1.0,0.7769846686690097,0.7769846686690097,0.5,0.0,0.0,1.0,0.4671517579398199
close to 2000-3000 houses in Block Groups are aged,0.6837333333332923,0.5,0.5847,0.0,1.0,0.65,0.65,0.5,0.0,0.0,1.0,0.5062212121212084
approximately 5000 houses in Block Groups are aged,0.16229745263413126,0.5,0.5847,0.0,1.0,0.4052924497840259,0.4052924497840259,0.5,0.0,0.0,1.0,0.4143256683820167
nearly 6000 houses in Block Groups are aged,0.04119956091856437,0.5,0.5847,0.0,1.0,0.25661556223003246,0.25661556223003246,0.5,0.0,0.0,1.0,0.3762846077616936
above 7500 houses in Block Groups are aged,0.0,0.5,0.5847,0.0,1.0,0.6,0.6,0.5,0.0,0.0,1.0,0.4349727272727273
