Summary,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,T
almost_none houses in Block Groups that are new have balanced room distribution,0.0,0.6666666666666667,0.7065462753950339,0.10615372460496608,1.0,0.8,0.8,0.6666666666666667,0.7522051874100107,0.7522051874100107,1.0,0.6591312461957596
around 20 % houses in Block Groups that are new have balanced room distribution,0.0,0.6666666666666667,0.7065462753950339,0.10615372460496608,1.0,0.6283077811150161,0.6283077811150161,0.6666666666666667,0.7522051874100107,0.7522051874100107,1.0,0.6279144791257625
nearly 1/3 houses in Block Groups that are new have balanced room distribution,0.0,0.6666666666666667,0.7065462753950339,0.10615372460496608,1.0,0.8,0.8,0.6666666666666667,0.7522051874100107,0.7522051874100107,1.0,0.6591312461957596
approximately half houses in Block Groups that are new have balanced room distribution,1.0,0.6666666666666667,0.7065462753950339,0.10615372460496608,1.0,0.7,0.7,0.6666666666666667,0.7522051874100107,0.7522051874100107,1.0,0.7318585189230322
most houses in Block Groups that are new have balanced room distribution,0.0,0.6666666666666667,0.7065462753950339,0.10615372460496608,1.0,0.55,0.55,0.6666666666666667,0.7522051874100107,0.7522051874100107,1.0,0.613676700741214
almost all houses in Block Groups that are new have balanced room distribution,0.0,0.6666666666666667,0.7065462753950339,0.10615372460496608,1.0,0.8,0.8,0.6666666666666667,0.7522051874100107,0.7522051874100107,1.0,0.6591312461957596
